"SalePrice","GrLivArea","LotArea","OverallQual","GarageArea","TotalBsmtSF","YearBuilt"
148000,1072,3675,6,525,547,2005
274900,1713,9591,8,856,1713,2004
116900,1111,5700,7,288,572,1926
73000,764,5232,5,504,680,1925
395000,1973,14226,8,895,1935,2006
475000,3608,22950,10,840,1107,1892
137000,1920,11345,5,400,928,1948
256000,1663,53227,4,529,1364,1954
285000,2872,10678,8,541,1683,1992
166000,1392,11900,6,458,1392,1957
138800,1096,15870,5,299,1096,1969
238000,2127,13125,7,833,1104,1991
216500,1960,7851,6,440,860,2002
127000,1252,7438,5,576,504,1908
222000,1478,4403,7,484,1470,2009
139900,1422,12342,5,286,978,1960
107500,2372,6600,5,432,994,1892
180000,1339,8049,7,484,1309,1990
110000,1284,3500,5,240,720,1947
144000,2020,8400,5,630,0,1977
185000,1674,21780,6,396,1163,1918
225000,1496,9158,8,474,1496,2007
125500,1154,5436,4,240,796,1922
228500,2169,9375,8,647,1284,2002
146500,1644,9480,5,312,728,1942
176500,1414,11029,6,601,1184,1958
145000,1258,11040,6,528,1258,1971
98000,1344,4571,5,513,624,1916
183200,1509,7861,6,393,783,2002
173000,1167,9248,6,400,1158,1992
415298,2121,14450,9,732,2121,2006
148000,1113,7917,6,504,1143,1976
134900,1176,6000,6,624,698,1937
143250,981,10530,6,576,981,1971
151500,958,12772,6,301,958,1960
230000,1811,14115,6,470,1073,1956
107000,1328,9906,4,210,686,1925
105500,832,7227,6,528,832,1954
123500,1148,6420,5,308,980,1952
377426,1922,14157,9,676,1922,2005
143500,1285,8197,6,528,660,1977
394617,1932,12444,8,774,1932,2008
158000,1159,11553,5,336,1051,1968
178400,999,12122,7,588,944,1961
136500,848,4435,6,420,848,2003
135000,1470,8172,4,548,941,1954
178000,1868,12090,6,477,585,1984
239000,1571,10991,8,722,1571,2007
189950,1426,7642,7,216,912,1918
145500,1053,10007,5,312,1053,1959
155000,1416,2572,7,484,696,1999
183900,1452,3735,7,506,691,1999
167000,1486,9937,5,480,1486,1964
220000,1541,12182,7,532,1541,2005
194500,1744,9453,7,457,996,1993
164500,1320,11777,5,564,1164,1966
189000,2601,9842,5,621,612,1921
139000,1092,11616,5,288,1092,1962
155000,1094,10452,6,495,1094,1953
155900,848,4435,6,420,848,2004
325000,1652,13173,9,840,1652,2006
141000,1092,14850,5,299,1092,1957
147500,1256,9937,5,276,1256,1965
230000,1314,5001,7,626,1314,2007
124000,1229,1300,6,462,561,1980
116000,910,8892,5,414,105,1953
148800,1102,5105,7,480,551,2004
212000,1768,10769,8,578,866,2007
395192,1940,10159,9,606,1930,2009
190000,1888,16492,6,578,1517,1966
259000,1530,14572,7,630,1530,2004
183000,1640,7226,7,595,798,2003
150500,1040,8800,5,484,1040,1977
52000,729,4130,3,0,270,1935
154000,1626,2448,7,474,764,2003
335000,1902,17500,7,567,1902,1959
192000,1269,3182,8,430,1256,2004
194000,1432,16157,5,588,1360,1978
129900,1060,4224,5,572,1040,1976
137500,1344,14375,6,525,819,1958
87000,1248,9439,5,160,912,1930
120500,816,5890,6,432,816,1930
193000,1790,9179,7,588,873,1999
228000,1707,16669,8,511,1686,1981
290000,2526,10120,8,844,1165,1994
215000,1602,16635,6,529,1602,1977
208300,1218,7862,6,676,1218,2009
140000,1710,10300,7,480,576,1921
110000,1230,10440,5,440,440,1910
129500,768,7244,5,624,768,1970
117000,1635,5310,6,255,485,1910
251000,1652,5330,8,499,1494,2000
117000,1604,10998,5,660,984,1941
270000,1494,9549,8,481,1494,1995
297000,1718,10637,8,826,1705,2007
169000,1600,8773,6,460,916,1997
160200,1145,3182,7,397,1145,2005
271000,2127,10944,7,525,1223,1994
135500,980,9750,5,384,980,1967
135900,1716,5687,5,0,780,1912
152000,1558,13710,5,282,910,1950
250000,2654,11029,6,619,1054,1968
221000,1494,12803,7,530,1494,2002
60000,800,6120,2,0,264,1936
281213,2482,12665,8,642,1094,2005
290000,1660,10182,8,500,1660,2006
52500,693,4118,4,0,693,1941
185850,1364,7052,7,484,1364,2005
245000,1563,10206,8,758,1563,2007
148500,1002,8750,5,902,1002,1970
112000,833,8780,5,0,833,1985
164000,1752,12134,8,492,559,1988
91000,988,1596,4,297,462,1973
130000,894,9764,5,450,894,1967
144500,1526,8562,5,364,1216,1957
124900,1869,8820,5,456,1088,1890
124000,1584,8944,5,792,1584,1967
301000,2730,10380,7,576,1502,1986
259500,2320,7259,6,180,1028,1945
187000,1855,9600,6,512,528,1976
225000,2008,7800,5,230,896,1948
159434,1520,4500,5,281,793,1932
185000,1221,7500,7,400,1221,2004
133700,1040,7560,5,286,1040,1959
123000,894,7200,5,600,894,1972
195000,2030,12046,6,551,848,1976
215000,1961,12209,6,560,804,2001
186500,1792,10261,6,451,936,2000
175000,1464,12886,5,480,520,1963
171000,1716,9247,6,490,858,1962
250000,1992,9375,8,648,1053,2003
129500,1040,11200,5,384,1040,1965
165150,1790,10400,6,484,732,1972
125000,894,7094,5,384,894,1966
108000,672,10200,5,240,672,1940
263435,1935,8004,8,552,832,2009
90000,1040,7200,4,420,0,1949
40000,1317,8500,4,250,649,1920
196000,1567,9819,6,714,1567,1977
133900,2291,7200,6,506,1214,1910
132000,854,6120,7,576,832,1929
172500,1920,13650,5,451,1052,1958
112000,1902,8930,6,539,0,1978
184750,4676,40094,10,884,3138,2007
193000,1617,8012,6,533,1604,1993
149000,848,4438,6,420,848,2004
143750,958,4928,6,440,958,1976
190000,1166,9587,7,400,856,2005
76000,784,9000,6,360,784,1928
178000,1641,9600,7,546,728,1925
231500,1792,12435,7,564,963,2001
155000,1269,7931,5,308,1269,1960
154000,1556,11700,6,441,727,1968
118000,698,9405,5,0,698,1947
227000,1665,8400,8,528,810,2001
93500,974,10712,5,0,974,1991
118000,1077,7420,5,205,991,1939
140000,1283,7763,5,506,931,1962
164990,1310,8767,7,400,1310,2005
115000,789,6000,5,250,789,1948
200000,2090,10382,7,484,1107,1973
160000,1116,10000,6,440,1116,1962
176000,1382,19296,6,884,1362,1962
315000,1838,14601,9,765,1838,2006
200000,1861,13450,7,492,916,2002
144152,1200,3180,7,480,600,2005
185000,1262,7200,6,572,1262,2006
180000,1298,11200,6,403,1298,1985
176000,1137,13811,6,551,1112,1987
129000,2380,18450,6,596,1021,1965
197000,1576,8125,7,614,770,2006
280000,1533,70761,7,576,1533,1975
127000,1040,6897,5,260,1040,1962
240000,2614,10800,6,624,1522,1974
80000,924,12180,4,280,672,1941
220000,1991,11275,6,432,854,1932
123000,900,7838,5,288,864,1967
122900,924,8064,5,576,672,1949
230000,1654,8125,7,900,1654,2002
240000,2090,10000,8,556,1220,1995
269790,2013,9920,7,455,1117,1996
142125,1078,9717,5,240,1078,1950
141000,864,19138,4,400,864,1951
262500,1566,9000,8,750,1566,2008
145000,960,10246,4,364,648,1965
372500,2046,11844,8,834,2046,2008
145000,1097,10859,5,672,1097,1994
110000,892,9477,5,264,864,1966
128000,1647,6858,6,216,806,1915
159000,1114,13695,5,576,1114,2004
340000,2466,11143,8,610,1580,2004
125000,825,8235,5,720,825,1955
249700,1656,11096,8,826,1656,2006
188700,1660,11988,6,240,715,1934
106500,882,8339,5,294,0,1959
137500,1180,11600,4,252,700,1922
165600,1501,7685,6,420,697,1993
153337,1224,7018,5,528,1086,1979
153000,1297,8532,5,498,1297,1954
260000,2646,9900,7,656,1347,1993
106000,1302,2016,5,440,630,1970
171000,1701,16647,5,611,1390,1975
163990,1456,8461,6,390,728,2005
112000,1416,25339,5,576,816,1918
555000,2402,15431,10,672,3094,2008
217500,1647,12984,5,621,1430,1977
207000,1848,13053,6,370,833,1923
129000,960,9873,4,576,960,1970
87000,1774,9600,4,779,1095,1900
193500,2142,13000,6,509,896,1968
318000,1734,12085,8,928,1734,2007
220000,1296,6853,8,471,1267,2001
315000,2630,9200,8,696,1470,1998
172500,1471,3230,6,440,729,1999
143000,1362,14115,5,480,796,1993
148000,1155,11782,5,576,1109,1961
193500,1679,8125,6,575,1408,1994
113000,1452,4456,4,0,736,1920
192000,1431,9017,7,666,1431,1999
129000,913,8400,6,240,814,1966
111000,948,10215,4,248,864,1954
205000,1541,13704,7,843,1541,2001
142953,2240,7018,5,528,0,1979
286000,1593,4923,8,682,1593,2001
315000,2727,10570,8,440,853,1932
127500,1689,9855,6,480,1436,1956
320000,3222,12376,7,594,1673,1990
137000,1008,11425,5,275,1008,1954
158000,1158,13072,6,576,1158,2004
200500,3086,18030,5,0,1598,1946
222000,2236,13006,7,642,964,1997
197500,1381,9360,6,676,1161,1972
294000,2167,17542,7,518,1192,1974
215000,1494,16196,7,514,1482,1998
158900,1386,11616,6,440,672,1978
187000,1851,9760,6,440,822,1964
143000,1144,8163,5,796,1144,1959
194700,1362,7577,6,460,1362,2005
76500,1306,5350,3,0,728,1940
234000,1557,3196,7,420,1374,2003
345000,2704,13860,8,538,1952,1972
179665,1496,17104,7,426,654,2006
212900,1552,10084,7,782,1552,2005
412500,2668,13688,9,726,1572,2003
118500,1216,8480,5,336,832,1947
325624,2161,10562,8,789,1582,2007
233000,2084,10142,7,618,956,2004
127000,1285,8635,5,240,672,1948
157000,1762,7200,7,576,596,1920
210000,1908,8750,7,493,915,1994
337500,1718,12456,10,786,1700,2006
204750,1786,9337,6,684,824,1997
394432,1856,11394,9,834,1856,2010
204900,1498,8990,7,675,1498,2006
189000,1845,11218,6,462,1055,1992
305000,2262,12244,8,749,1482,2003
199900,1886,11214,7,431,930,1998
110500,866,3880,5,0,686,1945
285000,2374,11999,8,656,1181,2003
170000,1920,10192,7,487,570,1968
175000,1126,15611,5,540,1126,1977
115000,1639,10480,6,240,1064,1936
125000,912,8521,5,336,912,1967
128000,1484,6300,6,0,742,1914
138500,894,8450,5,336,894,1965
127500,1367,6240,6,560,884,1931
142000,1188,12160,5,531,1188,1959
136500,1768,10778,4,0,1768,1968
164900,1363,14559,5,288,1008,1951
215000,1911,9554,8,471,777,1993
103200,882,5500,4,0,882,1956
185500,1414,8773,7,494,1414,2004
146000,1392,3604,7,540,689,2007
165000,1224,4500,6,402,1224,1999
236500,1788,11838,8,522,1753,2001
107000,1056,8900,4,384,1056,1966
172785,1456,15578,6,429,728,2006
103000,1208,6240,4,539,780,1925
171000,1564,8400,6,476,650,1980
105000,1258,9060,6,280,560,1939
277000,2062,14364,7,454,1157,1988
83500,1092,1974,4,286,546,1973
335000,2519,26178,7,628,1210,1989
134000,1142,4224,5,528,1142,1976
84500,630,1936,4,0,630,1970
132250,1040,25286,4,648,1064,1963
240000,1710,12118,7,550,1710,2004
133000,768,8445,5,396,768,1972
240000,1670,14859,7,690,1670,2006
155000,1348,7590,6,453,660,1966
133500,864,15523,5,338,864,1972
328900,1709,5119,9,506,1698,1999
120000,1183,6000,3,308,649,1948
403000,2794,15138,8,810,1462,1995
207000,1358,8198,7,484,1358,2004
129000,1144,9571,5,596,1144,1956
119200,1082,11664,6,240,1082,1948
149700,1236,7407,6,923,912,1957
85000,796,8777,5,0,796,1910
181000,1504,3182,7,457,1346,2005
130000,1316,5500,5,484,926,1929
89000,616,6000,5,205,616,1921
140000,1121,8546,4,440,1121,2003
114500,1176,6240,6,528,816,1934
386250,2392,13472,10,968,2392,2003
232000,1668,10635,8,502,1657,2003
147000,1795,9986,8,895,1795,2006
538000,3279,53504,8,841,1650,2003
145000,1477,6292,7,216,861,1928
181000,1337,4060,6,511,1405,1998
180000,1509,7875,7,393,783,2003
99500,918,7892,6,264,918,1979
215000,1959,11796,7,434,847,2004
139000,1339,7560,5,294,1029,1958
180500,1442,11851,7,500,1424,1990
153900,1199,7892,6,530,1199,1993
451950,2296,13478,10,842,1722,2008
190000,1582,36500,5,390,1624,1964
190000,1728,9313,7,572,864,2004
141000,1150,7945,5,300,1150,1959
139000,1056,8176,5,308,1056,1958
228500,1982,11287,7,575,807,1989
109900,1040,7200,4,420,0,1950
191000,1716,8750,7,512,880,1996
171000,1959,11070,7,766,1907,1988
205000,1986,13600,7,486,768,1965
177500,1573,2117,6,440,756,2000
139000,1196,9000,6,297,1196,1956
135000,1004,10530,6,504,975,1977
122000,2358,5250,8,0,684,1872
144000,1099,9525,5,352,1099,1995
266000,1939,10728,8,1053,1095,2006
110000,924,7990,5,280,924,1975
113000,672,9340,4,234,672,1941
138000,1904,7200,5,240,1208,1950
190000,1867,10708,5,303,1617,1955
130000,899,7800,5,288,864,1967
145000,1314,8400,5,294,1314,1957
179600,1422,8500,7,626,1422,2004
139400,1056,9250,5,260,1056,1954
410000,3238,14720,8,666,2033,1995
153000,1306,8712,5,756,992,1957
244000,2223,13651,7,516,2223,1973
102000,1220,8877,4,396,836,1951
192000,1459,8749,7,527,1459,2002
275000,1787,14781,8,748,1753,2001
162000,1204,4500,6,412,1204,1998
116000,1118,4400,6,440,648,1920
213490,1506,3013,7,440,1362,2005
302000,2810,9572,8,750,1453,1990
140000,1796,7056,6,483,780,1963
185000,1337,8450,7,531,1337,2003
98000,1529,8405,4,240,0,1945
181000,1675,24682,6,502,841,1999
145000,1056,34650,5,572,1056,1955
154900,1343,7681,5,186,731,1921
227000,1588,10000,8,825,1588,2006
165000,1208,11250,6,546,1208,1977
153000,1520,9600,6,364,1156,1955
319900,1752,7658,9,576,1752,2005
153500,1074,10140,5,495,1056,1975
175000,1509,10200,6,600,1461,1988
118000,1218,1680,6,264,672,1972
260000,1530,16158,7,430,1530,2005
232000,1574,11957,8,824,1574,2006
167240,1248,3010,7,438,1248,2005
755000,4316,21535,10,832,2444,1994
200000,2267,8068,6,390,1010,2002
128000,1067,9600,4,436,1067,1950
250000,2514,11170,7,693,1216,1990
157900,1188,26142,5,312,1188,1962
100000,1123,6060,4,264,732,1939
119000,1728,10624,5,352,1728,1964
110000,858,7340,4,684,858,1971
226700,1768,9803,7,603,866,2005
164000,1216,4500,6,402,1216,1998
139000,1652,10800,5,416,686,1915
148000,1382,11235,4,459,1051,1963
179000,1349,8450,7,539,1349,2000
91500,1456,7585,5,280,810,1948
185000,2126,28698,5,538,1013,1967
183500,1720,8244,7,440,840,2004
110000,1776,11475,5,888,1584,1958
143000,1846,10496,6,315,1040,1949
121500,1392,11341,5,528,1392,1957
202900,1908,14191,8,431,967,2002
136000,2526,8520,6,216,714,1916
187500,1472,14115,7,588,1372,1980
289000,1801,15602,7,484,1501,1959
93000,1124,8335,5,0,0,1954
181500,1262,9600,6,460,1262,1976
82000,944,10206,3,528,0,1952
161500,1342,9790,6,457,1372,1967
192500,1776,14006,7,474,936,2002
224000,1640,14778,6,924,1296,1954
136900,1855,9525,6,325,994,1954
170000,1779,17920,5,454,1763,1955
139000,1824,9400,6,0,912,1971
147000,996,9069,6,564,936,1992
119500,1376,8600,6,198,780,1937
135500,1393,16466,5,300,816,1955
81000,894,18000,3,1248,894,1935
159000,1664,5000,6,420,1004,1947
341000,2418,10542,7,983,1311,1993
192000,1638,9042,6,472,943,1998
180500,1425,10175,6,576,1425,1964
165400,1656,6931,7,397,746,2003
116500,858,7207,5,0,858,1958
143900,1696,13673,5,349,1140,1962
212000,1661,10667,7,550,799,1996
150000,1440,7711,4,0,1440,1977
275000,1904,10927,8,736,1058,2005
125000,1472,9600,5,250,702,1925
81000,1184,8410,5,0,658,1910
151000,1212,8471,6,492,506,1977
226000,1479,10665,7,558,1453,2003
197000,1247,3316,8,550,1247,2005
108959,1258,12900,4,400,1198,1969
268000,2295,13346,7,590,1095,1992
161500,1788,11250,4,304,1104,1957
146800,1062,11333,6,539,1029,1976
142000,912,6768,6,288,912,1961
174500,1564,12000,7,234,704,1941
139950,1144,7875,5,456,1144,1961
149500,1505,12160,6,505,1505,1953
369900,2028,11443,8,880,1868,2005
230000,2291,8738,7,429,975,1999
229456,1314,8640,8,552,1300,2009
212000,1502,6820,8,528,1488,1985
164500,1224,3951,6,528,612,2009
181134,1340,8899,7,396,1340,2007
147000,1026,10970,6,576,940,1978
146000,1456,2280,6,440,855,1978
248900,1646,10656,8,870,1638,2006
188000,1658,8000,6,431,773,1995
250000,2784,16692,7,564,1392,1978
196000,1391,4282,7,530,1391,2004
159000,1734,9786,6,440,912,1962
157500,1539,10440,5,686,650,1904
221000,1839,16770,7,486,1195,1998
147000,1122,12000,5,528,924,1948
192000,2022,10005,7,505,1160,1977
202665,1368,6792,7,474,1368,2005
189000,1456,8199,7,410,728,2005
119750,954,6305,5,240,920,1938
142500,894,13350,5,440,864,1974
160000,1126,17400,5,484,1126,1977
145250,1383,11600,6,292,1383,1960
215000,1656,31770,6,528,1080,1960
239000,1950,7399,7,576,975,1997
381000,3447,14100,8,1014,728,1935
130500,816,6600,5,264,816,1982
109500,792,9022,5,240,768,1924
86000,605,9098,4,0,528,1920
136000,1792,9000,5,0,896,1974
80000,1006,9000,5,0,1006,1959
132000,1432,9600,5,360,264,1910
190000,1574,18800,6,566,796,1976
185900,1582,8320,7,520,770,2004
132500,1148,7931,5,672,1148,1959
290000,2520,9950,7,721,1203,1995
140000,1601,13825,5,300,533,1958
424870,2828,9965,8,1052,1466,2006
129000,894,8724,5,450,894,1968
278000,1659,5664,8,499,1501,2000
178000,1414,9056,8,403,707,2004
205000,1964,10480,7,483,803,1976
180000,1430,7750,7,400,384,2000
112000,1346,11767,4,384,560,1910
163500,964,13360,5,432,876,1921
160000,2414,10800,5,520,954,1900
135000,1656,9246,5,506,1656,1973
124000,1750,9000,5,240,636,1880
157000,1601,11880,7,478,1271,1978
374000,1792,11846,9,874,1792,2003
140000,1375,11310,6,451,1367,1954
169500,1818,7758,7,240,1040,1931
128500,1382,12358,5,660,720,1941
92000,630,1533,5,0,630,1970
120000,1158,6000,6,208,862,1929
131000,1218,6000,6,440,735,1941
132000,972,8000,6,240,972,1948
170000,1389,10010,5,418,1389,1974
230000,1852,9066,8,660,1004,1999
248000,1850,29959,7,467,973,1994
326000,1850,16033,9,772,1833,2004
277000,2144,159000,6,389,1444,1958
109500,894,6600,5,308,894,1962
132500,1190,7728,5,540,1106,1962
138887,1784,13132,5,180,747,1914
202500,1368,6955,7,474,1368,2005
135000,1981,7804,4,576,1122,1928
206900,2112,11075,6,576,952,1969
83000,835,10625,5,366,458,1920
94750,960,10921,4,432,960,1965
196500,1720,11645,7,565,860,2004
126000,990,8775,5,299,990,1994
315750,2398,11787,7,834,1379,1996
155000,1548,2308,6,440,804,1976
220000,1604,8814,7,660,1604,2006
144000,1056,6979,6,576,1056,1980
276000,2574,9588,8,868,1482,2007
172000,1968,11075,5,530,784,1969
272000,2872,12227,6,619,1330,1977
199900,1241,4274,7,569,1241,2006
104000,2229,5520,6,0,755,1912
256000,2792,10440,6,520,1510,1920
55993,1044,8712,5,504,540,1952
128200,894,10650,5,308,894,1976
115000,912,7800,5,288,912,1964
130000,1360,7134,5,572,384,1955
119900,965,7800,5,300,828,1965
217000,1494,9236,6,576,1479,1997
175000,1484,12243,5,487,1484,1971
100000,892,7150,5,288,892,1967
140000,1072,3675,6,525,547,2005
167500,1264,9300,5,461,1268,1960
155000,1114,13695,6,576,1114,2003
100000,1664,9825,5,0,0,1965
176485,1302,8993,7,436,1302,2007
265900,1484,9037,8,472,1476,2006
99900,864,4060,5,0,864,1922
144900,1086,10200,5,490,1086,1954
133000,1268,12144,5,288,832,1949
214500,2134,11888,6,441,844,1916
230000,1517,11435,8,400,792,1929
202500,1621,14145,7,440,1208,1984
175900,1603,7153,6,484,761,1992
137000,1928,9142,6,440,1020,1910
162000,1287,9830,5,576,1063,1959
200624,2515,32668,6,484,2035,1957
130250,938,9200,5,308,938,1975
107500,827,7200,5,392,0,1955
139000,1121,8816,5,480,1121,1963
61000,904,10020,1,0,683,1922
138000,990,8072,5,480,990,1994
215000,1456,3196,8,400,1273,2003
82500,708,5330,4,0,420,1940
88000,1015,6120,5,450,768,1925
130000,1709,2522,7,380,970,2004
140000,848,4435,6,420,848,2003
110000,1203,7015,5,352,709,1950
145000,990,9245,5,672,990,1994
135750,952,8475,4,283,952,1956
104900,1221,9738,5,392,784,1924
141000,848,4426,6,420,848,2004
149000,1502,7200,7,270,776,1931
175500,1422,12090,6,576,1422,1981
189000,1228,4671,8,472,1228,1988
140000,1595,8400,6,240,940,1940
187000,1710,9291,6,506,832,1993
264132,1506,14587,9,592,1498,2008
180500,1152,14112,5,484,1152,1964
160000,5642,63887,10,1418,6110,2008
385000,2084,14803,10,1220,2078,2007
179000,1800,8123,6,463,982,2000
232600,1489,11216,8,776,1489,2006
250000,2198,14260,8,836,1145,2000
250000,1634,11428,8,866,1626,2006
144000,1690,8850,7,225,815,1916
148000,1032,10395,6,564,1032,1978
60000,1276,9571,5,350,1276,1958
160000,1928,7082,5,0,686,1916
350000,2113,10437,8,839,2109,1995
75500,630,1491,4,0,630,1972
171750,1405,3136,7,478,1405,2003
119000,1367,8405,5,384,861,1900
153575,1396,8730,6,384,698,1915
214000,2060,8755,7,390,992,1999
178740,1414,3072,7,398,1375,2004
100000,1301,6911,5,440,1145,1924
137000,935,13526,5,288,935,1965
189000,1434,8529,7,527,1454,2001
167000,1516,10004,6,472,1516,1964
98300,1048,7200,5,420,0,1950
380000,2643,13693,9,694,2153,2006
342643,2596,16259,9,840,1249,2006
129900,1774,6120,7,468,952,1931
135000,1192,10800,4,0,720,1949
226000,1929,7050,7,650,1057,2001
254000,1324,6240,8,550,1324,2006
162900,1664,10140,7,528,832,1976
222500,2035,9505,7,434,884,2001
205950,1665,8125,7,562,813,2007
90000,1296,10791,4,516,0,1967
221500,1614,11210,7,865,1614,2005
149300,848,4426,6,420,848,2004
156932,1412,8499,6,432,616,2006
189000,1804,7500,7,442,994,1999
213500,1797,9245,7,639,939,2006
