"LotArea","GrLivArea","TotalBsmtSF","YearBuilt","GarageCars","SalePrice","Neighborhood","BldgType","HouseStyle","ExterQual","CentralAir","MSZoning"
10800,1047,641,1885,1,100000,"OldTown","1Fam","1Story","TA","Y","RM"
6000,789,789,1948,1,115000,"OldTown","1Fam","1Story","TA","Y","RM"
8500,1517,793,1919,0,115000,"IDOTRR","1Fam","1.5Fin","TA","N","RM"
11751,1844,1844,1977,2,190000,"NWAmes","1Fam","1Story","TA","Y","RL"
9525,1855,994,1954,1,136900,"Edwards","1Fam","1.5Fin","TA","Y","RL"
7750,1430,384,2000,2,180000,"Gilbert","1Fam","SLvl","TA","Y","RL"
9965,2696,1264,2007,3,383970,"CollgCr","1Fam","2Story","Gd","Y","RL"
21000,2259,1809,1953,2,217000,"Crawfor","1Fam","1Story","TA","Y","RL"
7259,2320,1028,1945,1,259500,"Crawfor","1Fam","2Story","TA","Y","RL"
3230,1458,729,1999,2,176000,"Somerst","TwnhsE","2Story","TA","Y","FV"
11616,1092,1092,1962,1,139000,"Sawyer","1Fam","1Story","TA","Y","RL"
8536,1125,1125,2006,2,155000,"Edwards","1Fam","1Story","TA","Y","RL"
12376,3222,1673,1990,3,320000,"SawyerW","1Fam","2Story","TA","Y","RL"
8461,1456,728,2005,2,163990,"CollgCr","1Fam","2Story","Gd","Y","RL"
21453,988,938,1969,2,180000,"ClearCr","1Fam","SLvl","TA","Y","RL"
6060,1123,732,1939,1,100000,"IDOTRR","1Fam","1.5Fin","TA","Y","RM"
9464,1080,1080,1958,1,136000,"NAmes","1Fam","1Story","TA","Y","RL"
7892,1199,1199,1993,2,153900,"SawyerW","TwnhsE","1Story","Gd","Y","RL"
17043,1586,1362,1979,2,181000,"NWAmes","1Fam","1Story","TA","Y","RL"
6780,754,520,1935,0,84500,"IDOTRR","2fmCon","1.5Fin","TA","N","RM"
4928,958,1078,1976,2,128000,"NPkVill","TwnhsE","1Story","TA","Y","RL"
4388,840,672,1930,0,87000,"OldTown","1Fam","1.5Unf","TA","Y","RM"
7590,1348,660,1966,2,155000,"NAmes","1Fam","2Story","TA","Y","RL"
8973,1053,1008,1958,2,150000,"NAmes","1Fam","1Story","TA","Y","RL"
14200,2157,924,1966,2,226000,"NAmes","1Fam","2Story","TA","Y","RL"
12224,2054,992,2000,2,244000,"Gilbert","1Fam","2Story","Gd","Y","RL"
7388,1327,1063,1959,2,150750,"NAmes","1Fam","1Story","TA","Y","RL"
6853,1296,1267,2001,2,220000,"Timber","1Fam","1Story","Gd","Y","RL"
10335,1721,1461,1968,2,180000,"Sawyer","1Fam","1Story","TA","Y","RL"
10400,1682,1304,1970,2,174000,"NWAmes","1Fam","1Story","TA","Y","RL"
10355,1214,1214,1967,1,143000,"NAmes","1Fam","1Story","TA","Y","RL"
11070,1959,1907,1988,3,171000,"Mitchel","Duplex","1Story","TA","Y","RL"
9066,1852,1004,1999,3,230000,"CollgCr","1Fam","2Story","Gd","Y","RL"
15426,1764,928,1997,2,231500,"CollgCr","1Fam","2Story","TA","Y","RL"
10500,864,864,1971,0,115000,"NAmes","1Fam","1Story","TA","Y","RL"
11645,1734,1734,2005,2,260000,"CollgCr","1Fam","1Story","Gd","Y","RL"
8520,1385,910,1952,2,166000,"NAmes","1Fam","1.5Fin","TA","Y","RL"
10335,1501,1490,1999,2,204000,"CollgCr","1Fam","1Story","Gd","Y","RL"
9100,1728,1728,1963,2,125000,"Sawyer","Duplex","1Story","TA","Y","RM"
2522,1709,970,2004,2,130000,"Edwards","Twnhs","2Story","Gd","Y","RM"
6120,875,715,1931,1,105000,"BrkSide","1Fam","1Story","TA","Y","RM"
9505,2035,884,2001,2,222500,"Gilbert","1Fam","2Story","Gd","Y","RL"
7500,1080,1080,2004,0,141000,"SawyerW","1Fam","1Story","TA","Y","RL"
6240,1344,896,1936,1,115000,"BrkSide","1Fam","1.5Fin","TA","Y","RM"
10356,969,969,1975,2,122000,"CollgCr","1Fam","1Story","TA","Y","RL"
13891,1710,1710,2007,3,372402,"NridgHt","1Fam","1Story","Gd","Y","RL"
14803,1993,825,1971,2,190000,"NWAmes","1Fam","2Story","TA","Y","RL"
13500,1252,1602,1960,2,235000,"ClearCr","1Fam","1Story","TA","Y","RL"
11340,1200,1200,1923,1,125000,"OldTown","1Fam","1Story","TA","Y","RM"
9600,1096,572,1924,0,79000,"Edwards","1Fam","1.5Fin","TA","N","RL"
7200,1040,0,1950,2,109500,"NAmes","1Fam","1Story","TA","Y","RL"
12003,1968,774,2009,3,269500,"Timber","1Fam","2Story","Gd","Y","RL"
12552,1947,991,2004,2,254900,"Somerst","1Fam","2Story","Gd","Y","FV"
19378,2462,1392,2005,2,320000,"Gilbert","1Fam","2Story","Gd","Y","RL"
11120,1232,1232,1984,2,162500,"Veenker","1Fam","1Story","TA","Y","RL"
13688,2668,1572,2003,3,412500,"NridgHt","1Fam","2Story","Gd","Y","RL"
12182,1541,1541,2005,2,220000,"NridgHt","1Fam","1Story","Gd","Y","RL"
5500,882,882,1956,0,103200,"OldTown","1Fam","1.5Unf","TA","Y","RL"
5400,1616,1149,1926,1,152000,"OldTown","1Fam","1Story","TA","Y","RM"
10106,1355,644,1940,0,127500,"Edwards","2fmCon","1.5Fin","TA","Y","RL"
10708,1867,1617,1955,1,190000,"ClearCr","1Fam","1Story","Gd","Y","RL"
10562,2161,1582,2007,3,325624,"NridgHt","1Fam","2Story","Gd","Y","RL"
8244,1720,840,2004,2,183500,"Gilbert","1Fam","2Story","Gd","Y","RL"
16669,1707,1686,1981,2,228000,"Timber","1Fam","1Story","Gd","Y","RL"
12358,1382,720,1941,2,128500,"OldTown","1Fam","1.5Fin","TA","Y","RM"
31770,1656,1080,1960,2,215000,"NAmes","1Fam","1Story","TA","Y","RL"
5306,1767,1064,1987,2,239000,"StoneBr","TwnhsE","2Story","Gd","Y","RL"
10197,1362,1362,1961,2,163000,"NAmes","1Fam","1Story","TA","Y","RL"
12416,1651,1606,1986,2,184000,"Timber","1Fam","1Story","TA","Y","RL"
12615,2158,1202,1950,2,243000,"Edwards","1Fam","1Story","TA","Y","RL"
10029,2060,1151,1988,2,211000,"ClearCr","1Fam","2Story","Gd","Y","RL"
13650,1920,1052,1958,2,172500,"Sawyer","1Fam","1.5Fin","Gd","Y","RL"
17423,2234,2216,2008,3,501837,"StoneBr","1Fam","1Story","Ex","Y","RL"
8520,968,968,1923,2,100000,"OldTown","1Fam","1Story","Gd","Y","RM"
2117,1525,756,2000,2,177000,"Somerst","Twnhs","2Story","Gd","Y","FV"
7588,1802,793,1920,1,200100,"Crawfor","1Fam","2Story","TA","Y","RL"
9060,1340,0,1957,1,120000,"Edwards","1Fam","1Story","TA","Y","RL"
11426,2082,1362,2003,2,200000,"OldTown","1Fam","1.5Fin","TA","Y","RM"
7438,1252,504,1908,2,127000,"BrkSide","1Fam","1.5Fin","TA","Y","RL"
22950,3608,1107,1892,3,475000,"OldTown","1Fam","2.5Fin","Gd","Y","RM"
9947,1217,1188,1990,2,173000,"Mitchel","1Fam","SLvl","TA","Y","RL"
10410,1656,660,1916,1,135000,"OldTown","1Fam","1.5Fin","TA","Y","RL"
7018,1224,1086,1979,2,153337,"SawyerW","Duplex","SFoyer","TA","Y","RL"
4923,1593,1593,2001,2,286000,"StoneBr","TwnhsE","1Story","Gd","Y","RL"
10570,2727,853,1932,2,315000,"Crawfor","1Fam","2Story","Gd","Y","RL"
7472,1479,725,1972,2,184000,"NAmes","1Fam","2Story","TA","Y","RL"
9017,1431,1431,1999,2,192000,"CollgCr","1Fam","1Story","Gd","Y","RL"
2522,1709,970,2004,2,130000,"Edwards","Twnhs","2Story","Gd","Y","RM"
7180,864,864,1972,1,127000,"CollgCr","1Fam","1Story","TA","Y","RL"
2280,1456,855,1976,2,148500,"NPkVill","Twnhs","2Story","TA","Y","RL"
9416,1726,1726,2007,3,311872,"Somerst","1Fam","1Story","Ex","Y","RL"
25419,3112,1360,1918,2,235000,"NAmes","1Fam","2Story","Gd","Y","RL"
5520,2229,755,1912,0,104000,"OldTown","1Fam","2.5Fin","TA","Y","RM"
9591,1713,1713,2004,3,274900,"NridgHt","1Fam","1Story","Gd","Y","RL"
8546,1121,1121,2003,2,140000,"Edwards","1Fam","1Story","TA","Y","RM"
10125,1279,1196,1977,2,171500,"Mitchel","1Fam","1Story","TA","Y","RL"
7000,1310,617,1924,1,112000,"OldTown","1Fam","1.5Fin","TA","Y","RL"
4438,848,848,2004,2,149000,"CollgCr","TwnhsE","1Story","Gd","Y","RM"
3500,1284,720,1947,1,110000,"OldTown","1Fam","1.5Fin","TA","Y","RM"
11851,1442,1424,1990,2,180500,"Gilbert","1Fam","1Story","TA","Y","RL"
13673,1696,1140,1962,1,143900,"Sawyer","1Fam","1Story","TA","Y","RL"
12493,1100,1100,1960,1,141000,"NAmes","1Fam","1Story","TA","Y","RL"
14364,2062,1157,1988,2,277000,"SawyerW","1Fam","2Story","Gd","Y","RL"
8250,1092,1092,1964,2,145000,"NAmes","1Fam","1Story","TA","Y","RL"
5604,864,864,1925,0,98000,"Edwards","1Fam","1Story","TA","N","RL"
10420,1212,1212,2009,2,186000,"Edwards","1Fam","1Story","TA","Y","RL"
8640,1852,900,2009,2,252678,"Somerst","1Fam","2Story","TA","Y","FV"
13568,990,990,1995,2,156000,"CollgCr","1Fam","1Story","TA","Y","RL"
10900,1392,689,1977,1,161750,"CollgCr","1Fam","2Story","TA","Y","RL"
10011,1236,1070,1957,1,134450,"NAmes","1Fam","1Story","TA","Y","RL"
8450,1436,1436,2004,2,210000,"CollgCr","1Fam","1Story","Gd","Y","RL"
9906,1328,686,1925,1,107000,"OldTown","1Fam","2Story","TA","N","RM"
15660,1954,798,1939,2,311500,"Crawfor","1Fam","1.5Fin","Gd","Y","RL"
3010,1248,1248,2005,2,167240,"Blmngtn","TwnhsE","1Story","Gd","Y","RL"
8990,1498,1498,2006,2,204900,"CollgCr","1Fam","1Story","Gd","Y","RL"
8068,2267,1010,2002,2,200000,"Gilbert","1Fam","2Story","Gd","Y","RL"
11475,1552,713,1975,2,179900,"NWAmes","1Fam","2Story","TA","Y","RL"
10500,864,864,1971,2,97000,"NAmes","1Fam","1Story","TA","Y","RL"
13472,2392,2392,2003,3,386250,"NridgHt","1Fam","1Story","Ex","Y","RL"
1680,1302,630,1971,1,112000,"BrDale","Twnhs","2Story","TA","Y","RM"
9950,2520,1203,1995,3,290000,"NoRidge","1Fam","2Story","Gd","Y","RL"
1869,987,483,1970,1,106000,"BrDale","Twnhs","2Story","TA","Y","RM"
8521,912,912,1967,1,125000,"Sawyer","1Fam","1Story","TA","Y","RL"
3182,1555,1373,2005,2,192500,"Blmngtn","TwnhsE","1Story","Gd","Y","RL"
8760,1194,1194,1959,1,148000,"NAmes","1Fam","1Story","TA","Y","RL"
15138,2794,1462,1995,3,403000,"NoRidge","1Fam","2Story","Gd","Y","RL"
1680,987,483,1972,1,94500,"BrDale","Twnhs","2Story","TA","Y","RM"
10650,894,894,1976,1,128200,"CollgCr","1Fam","1Story","TA","Y","RL"
7851,1960,860,2002,2,216500,"Gilbert","1Fam","2Story","Gd","Y","RL"
1680,987,483,1971,1,89500,"BrDale","TwnhsE","2Story","TA","Y","RM"
8773,1414,1414,2004,2,185500,"CollgCr","1Fam","1Story","Gd","Y","RL"
9453,1744,996,1993,2,194500,"SawyerW","1Fam","2Story","Gd","Y","RL"
12030,1694,1694,2007,3,318000,"NridgHt","1Fam","1Story","Ex","Y","RL"
8741,1487,735,1945,1,113000,"Edwards","1Fam","1.5Fin","TA","Y","RL"
9000,1566,1566,2008,2,262500,"Somerst","1Fam","1Story","Gd","Y","FV"
3880,866,686,1945,0,110500,"OldTown","1Fam","1Story","TA","Y","RM"
5000,1440,540,1900,1,79000,"OldTown","1Fam","1.5Fin","TA","N","RM"
10762,1217,626,1980,1,120000,"SawyerW","TwnhsE","2Story","TA","Y","RL"
8880,2110,948,1994,2,205000,"SawyerW","1Fam","2Story","Gd","Y","RL"
10400,1872,1845,1988,2,241500,"NWAmes","1Fam","1Story","TA","Y","RL"
9142,1928,1020,1910,1,137000,"OldTown","2fmCon","2Story","TA","N","RM"
11310,1375,1367,1954,2,140000,"NAmes","1Fam","1Story","TA","Y","RL"
11317,1668,840,2003,2,180000,"CollgCr","1Fam","2Story","Gd","Y","RL"
159000,2144,1444,1958,2,277000,"ClearCr","1Fam","1.5Fin","Gd","Y","RL"
5350,1306,728,1940,0,76500,"BrkSide","1Fam","1Story","TA","Y","RL"
4750,1625,1573,2006,2,235000,"Crawfor","TwnhsE","1Story","Gd","Y","RM"
8366,1640,798,2004,2,173000,"SawyerW","1Fam","2Story","Gd","Y","RL"
9350,1302,1302,1964,1,158000,"NAmes","1Fam","SLvl","TA","Y","RL"
8400,1314,1314,1957,1,145000,"NAmes","1Fam","1Story","TA","Y","RL"
8738,2291,975,1999,2,230000,"Gilbert","1Fam","2Story","Gd","Y","RL"
8791,1728,864,2003,2,207500,"Somerst","1Fam","2Story","Gd","Y","FV"
8814,1604,1604,2006,2,220000,"CollgCr","1Fam","1Story","Gd","Y","RL"
12435,1792,963,2001,2,231500,"CollgCr","1Fam","2Story","Gd","Y","RL"
12702,882,0,1956,1,97000,"OldTown","1Fam","1Story","TA","Y","RM"
19296,1382,1362,1962,2,176000,"NAmes","1Fam","SLvl","TA","Y","RL"
9588,2574,1482,2007,3,276000,"CollgCr","1Fam","2Story","Gd","Y","RL"
8471,1212,506,1977,2,151000,"Sawyer","1Fam","SLvl","TA","Y","RL"
5500,1316,926,1929,2,130000,"OldTown","1Fam","1.5Fin","TA","Y","RM"
5232,764,680,1925,2,73000,"OldTown","1Fam","1Story","TA","N","RM"
12090,1422,1422,1981,2,175500,"NWAmes","1Fam","1Story","TA","Y","RL"
11207,1511,802,1997,2,185000,"Gilbert","1Fam","2Story","TA","Y","RL"
8400,2192,720,1939,1,179500,"SWISU","1Fam","2.5Fin","TA","Y","RL"
6900,778,740,1940,1,120500,"IDOTRR","1Fam","1Story","TA","Y","RM"
7917,1113,1143,1976,1,148000,"Edwards","1Fam","1Story","TA","Y","RL"
10728,1939,1095,2006,3,266000,"Somerst","1Fam","2Story","Gd","Y","FV"
39104,1363,1385,1954,2,241500,"ClearCr","1Fam","1Story","TA","Y","RL"
11764,2270,1152,1999,3,290000,"NoRidge","1Fam","2Story","Gd","Y","RL"
9600,1632,1240,1958,1,139000,"NAmes","1Fam","1Story","TA","Y","RL"
8314,816,816,1982,1,124500,"Mitchel","1Fam","1Story","TA","Y","RL"
7264,1548,952,1925,2,205000,"BrkSide","1Fam","1.5Fin","Gd","N","RL"
9196,1560,1560,2003,2,201000,"Mitchel","1Fam","1Story","Gd","Y","RL"
19138,864,864,1951,2,141000,"Gilbert","1Fam","1Story","TA","Y","RL"
14450,2121,2121,2006,3,415298,"NridgHt","1Fam","1Story","Ex","Y","RL"
10005,2022,1160,1977,2,192000,"ClearCr","1Fam","2Story","TA","Y","RL"
11287,1982,807,1989,2,228500,"SawyerW","1Fam","2Story","Gd","Y","RL"
7200,1262,1262,2006,2,185000,"Somerst","1Fam","1Story","Gd","Y","FV"
5063,1314,1314,2007,2,207500,"NridgHt","Twnhs","1Story","Gd","Y","RL"
9612,1468,1468,2008,3,244600,"Somerst","1Fam","1Story","Gd","Y","RL"
8012,1575,1575,1992,2,179200,"SawyerW","TwnhsE","1Story","Gd","Y","RL"
4251,1250,625,2006,2,164700,"Somerst","TwnhsE","2Story","Gd","Y","FV"
9786,1734,912,1962,2,159000,"NAmes","1Fam","1.5Fin","TA","Y","RL"
8125,858,858,1971,0,88000,"NAmes","1Fam","1Story","TA","Y","RL"
9819,900,882,1967,1,122000,"Sawyer","1Fam","1Story","TA","Y","RL"
8730,1396,698,1915,1,153575,"BrkSide","1Fam","2Story","TA","Y","RL"
15611,1919,1079,2006,2,233230,"CollgCr","1Fam","2Story","Gd","Y","RL"
5687,1716,780,1912,0,135900,"SWISU","2fmCon","2Story","TA","N","RL"
11409,1716,768,1949,1,131000,"Edwards","1Fam","1.5Fin","TA","Y","RL"
16659,2263,795,1977,2,235000,"NWAmes","1Fam","2Story","TA","Y","RL"
9600,1644,1416,1953,2,167000,"NAmes","1Fam","1Story","TA","Y","RL"
7937,1003,1003,1984,2,142500,"Mitchel","1Fam","SLvl","TA","Y","RL"
13710,1558,910,1950,1,152000,"IDOTRR","1Fam","1.5Fin","TA","Y","RM"
7399,1950,975,1997,2,239000,"Somerst","1Fam","2Story","Gd","Y","FV"
11700,1743,702,1968,2,175000,"NWAmes","1Fam","2Story","Gd","Y","RL"
14000,1152,1092,1950,1,158500,"Crawfor","1Fam","1Story","TA","Y","RL"
15750,1336,1165,1953,1,157000,"Crawfor","2fmCon","1Story","TA","Y","RL"
16226,2452,1028,1998,2,267000,"CollgCr","1Fam","2Story","Gd","Y","RL"
13704,1541,1541,2001,3,205000,"CollgCr","1Fam","1Story","Gd","Y","RL"
9800,894,894,1972,2,149900,"CollgCr","1Fam","1Story","TA","Y","RL"
18386,3493,1470,1880,3,295000,"OldTown","1Fam","2.5Fin","TA","Y","RM"
10386,2000,2000,2004,3,305900,"CollgCr","1Fam","1Story","Gd","Y","RL"
13474,2243,700,1990,3,225000,"SawyerW","1Fam","2Story","Gd","Y","RL"
7920,1406,319,1920,0,89500,"IDOTRR","1Fam","1.5Fin","TA","Y","RM"
12342,861,861,1940,2,82500,"Edwards","1Fam","1Story","TA","Y","RL"
12378,1944,1896,2003,3,360000,"NridgHt","1Fam","1Story","Gd","Y","RL"
7685,1501,697,1993,2,165600,"Gilbert","1Fam","2Story","TA","Y","RL"
8000,972,972,1948,1,132000,"NAmes","1Fam","1Story","TA","Y","RL"
7800,1118,793,1939,2,119900,"OldTown","2fmCon","1.5Fin","TA","Y","RM"
215245,2036,2136,1965,2,375000,"Timber","1Fam","1Story","TA","Y","RL"
9600,1641,728,1925,2,178000,"OldTown","1Fam","2Story","TA","Y","RM"
7795,1432,716,2004,2,188500,"Gilbert","1Fam","2Story","Gd","Y","RL"
13005,2353,845,1980,2,260000,"NWAmes","1Fam","2Story","Gd","Y","RL"
9000,1959,1088,2006,3,270000,"Somerst","1Fam","2Story","Gd","Y","FV"
9900,2646,1347,1993,3,260000,"NoRidge","1Fam","2Story","Gd","Y","RL"
14115,1472,1372,1980,2,187500,"NWAmes","1Fam","SLvl","TA","Y","RL"
16259,2596,1249,2006,3,342643,"NridgHt","1Fam","2Story","TA","Y","RL"
12099,2468,1136,2004,3,354000,"NridgHt","1Fam","2Story","Gd","Y","RL"
